level1_coletaveis:
.byte	
	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	0,0,0,0,3,2,2,2,2,0,0,0,0,0,2,2,2,2,3,0,
	0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,
	0,0,0,0,2,0,2,2,2,2,0,0,0,2,2,2,2,0,2,0,
	0,0,0,0,2,0,2,2,0,2,0,0,0,2,0,2,2,0,2,0,
	0,0,0,0,2,2,2,2,0,2,0,0,0,2,0,2,2,2,2,0,
	0,0,0,0,0,0,2,2,0,2,0,0,0,2,0,2,2,0,0,0,
	0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,
	0,0,0,0,0,0,2,2,0,2,0,0,0,2,0,2,2,0,0,0,
	0,0,0,0,2,2,2,2,0,2,0,0,0,2,0,2,2,2,2,0,
	0,0,0,0,2,0,2,2,0,2,0,4,0,2,0,2,2,0,2,0,
	0,0,0,0,2,0,2,2,2,2,2,0,2,2,2,2,2,0,2,0,
	0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,
	0,0,0,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,
	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


# 0 = nao tem importancia para este mapa
# 2 = pontos que o char pega
# 3 = super que deixa os inimigos vulneraveis
# 4 = ponto bonus 
