level2_colisao:
.byte	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
	1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,
	1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,
	1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,
	1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,
	1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,
	1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,
	1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
	1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,
	1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,
	1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,
	1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,
	1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,
	1,1,1,1,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,1,
        1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1

# 0 = lugar onde pode andar
# 1 = lugar onde não pode andar
# 5 = char
